NodeB_ID,Cell_Id,VS.MeanRTWP(dBm),DCH User Num,HSDPA User Num,HSDPA User Throughput (kbit/s),FACH User Num,HSUPA User Num,HSUPA User Throughput (kbit/s),PD85,FR_DROP_DL,FR_DROP_UL
10000,10011,-103.0603,6.2444,3.0438,1614.9043,2.5637,4.4976,65.2469,5744.86,3874,1019
20000,20022,-101.2766,24.0674,13.6762,736.8089,9.9624,18.8295,45.4413,9142.02,467,643
30000,30021,-100.9961,24.5416,14.2786,1195.8381,11.9179,16.2194,57.0315,540.94,22754,562
40000,40032,-105.6323,5.9115,2.959,2051.4645,2.1954,3.9954,76.7928,363.93,264,117
50000,50031,-100.562,25.0407,13.9404,1700.201,7.7693,16.3853,63.6864,152.01,1266,303
10000,10012,-96.6204,46.3535,29.5039,178.0554,20.0992,34.8757,51.0446,5750.2,3874,1019
60000,60032,-100.39,7.1524,5.9182,1359.1423,4.7054,6.4538,83.2964,472.08,3486039,1213
70000,70026,-103.195,6.1365,2.3042,1413.6525,1.2142,4.4538,65.1033,6101.87,191684,8
80000,80011,-98.8029,15.7603,9.9576,1681.7008,6.1695,11.5756,145.2892,234.65,126,3233
90000,90023,-99.2859,31.7875,16.4618,979.0188,11.1093,19.7344,51.7503,494.45,93,345
100000,100011,-96.8024,13.6196,6.0643,787.7848,4.6675,7.8693,54.1572,4946.53,4,11
110000,110032,-101.9083,19.4741,11.787,1346.3544,7.833,14.4769,54.8043,795.15,681,42
120000,120013,-102.1312,30.7276,20.4365,284.8127,12.743,25.0835,40.8147,11606.3,280871,4794
130000,130023,-104.5742,16.4039,11.7781,1880.5198,7.9371,12.5628,64.508,849.52,495,681
140000,140036,-99.438,32.3545,23.6671,936.506,21.9269,26.8117,54.2499,982.35,255,34
150000,150013,-93.0032,40.8794,24.0655,308.2438,13.3919,30.0405,42.9336,1083.86,469,8
160000,160012,-98.7186,10.5679,6.8559,2094.2009,5.3847,8.3463,71.2742,618.55,1232995,57928
170000,170026,-103.3531,15.6919,9.9838,973.3752,8.9517,12.2825,44.0437,2043.64,775,26
180000,180022,-104.4961,7.9211,3.0182,1551.0083,2.3486,4.675,60.4593,729.35,0,685
190000,190012,-100.3481,15.7852,6.587,674.8861,3.3554,10.6402,57.0878,2203.36,64,8
200000,200033,-98.2702,15.4765,8.6126,1403.3449,6.9352,10.7197,69.5471,1521.76,63,25
60000,60031,-106.2556,5.9822,5.3878,2126.4071,2.7487,5.5713,86.679,3222.92,3486039,1213
210000,210031,-100.5035,34.2087,23.3284,614.3198,19.0631,25.0487,56.9521,1967.02,20683,2741
100000,100022,-103.977,6.4852,3.4774,1117.0283,3.2503,4.2194,55.6968,567.69,4,11
220000,220034,-98.8708,38.3657,28.6636,665.4764,23.5724,24.0385,65.106,1615.57,9105840,1322
230000,230011,-101.5389,3.0481,1.0269,1211.7636,0.7115,1.6124,68.7521,362.75,2,1
240000,240012,-98.7142,24.9782,10.687,1006.0104,5.1609,14.64,59.1544,686.15,317,0
250000,250013,-98.199,30.3885,18.3779,412.8642,11.1471,21.9578,50.8824,5375.66,879686,0
70000,70011,-90.9212,53.1484,24.01,259.3512,21.2057,32.2038,38.3928,1313.62,191684,8
260000,260013,-93.0389,23.2164,13.5291,354.6529,5.6568,19.2871,53.7,20632,28535759,32612
270000,270021,-100.8597,19.6235,9.3507,714.2956,8.9157,11.6617,41.8012,833.1,67,602
280000,280013,-94.9029,16.1944,6.7912,1040.9636,2.7755,9.8913,63.3032,439.05,167552,305
290000,290013,-97.869,23.6139,9.8298,515.0424,8.5283,13.4548,52.1108,565.58,284,318
300000,300013,-97.5285,24.2622,10.6966,1101.575,5.5114,15.6012,61.3284,1229.97,1550,462
310000,310011,-93.6878,45.7824,27.1826,278.8306,14.0608,34.745,41.0132,1614.27,819823,863
320000,320023,-102.6775,10.4358,6.193,2334.7041,5.7455,8.6235,83.6749,6636.64,105690,37
330000,330012,-95.7488,54.5114,35.9539,153.3136,17.5721,42.4977,47.2229,11016.2,0,3
180000,180026,-105.0784,7.2358,3.2135,1199.6241,2.0103,5.5863,56.1123,847.42,0,685
340000,340011,-99.1336,7.4857,2.8748,1579.9645,2.1065,4.0247,78.5371,1008.81,52,1101
350000,350033,-99.9134,23.2413,13.4542,1448.2041,10.4752,18.0855,57.2653,1009.9,233,14
360000,360013,-99.8333,13.7579,5.6274,1246.3657,3.7592,6.8697,62.3861,601.64,0,706
370000,370022,-99.0508,23.0954,13.3652,716.9395,10.6801,15.1847,39.207,1019,50,547
380000,380013,-105.5241,10.3818,7.8924,776.3291,6.0954,8.8604,56.6235,5897.8,928,478
200000,200023,-101.0221,20.2282,9.24,974.793,6.823,12.9332,57.8084,1086.35,63,25
390000,390022,-102.4934,11.7545,7.0932,818.7275,6.5313,9.0879,48.3531,538.19,1238,457
400000,400013,-98.9807,16.6522,8.1316,986.991,4.8801,9.1181,63.1556,618.64,28,204
410000,410023,-100.1027,19.9468,12.7447,1861.3048,8.9987,14.3905,60.2521,563.64,1961,481
